Tanggal;Waktu (WIB);Lintang;Bujur;Kedalaman;Magnitude;Keterangan;Dirasakan
01/10/2024;12:36:14;-8.26;115.32;164;2.3;19 km BaratLaut BANGLI-BALI;
02/10/2024;11:38:26;-8.66;116.1;92;2.2;4 km BaratLaut LOMBOKBARAT-NTB;
05/10/2024;08:42:16;-8.69;116.06;81;2.9;8 km BaratDaya LOMBOKBARAT-NTB;
08/10/2024;15:50:25;-8.52;115.1;87;2.2;2 km BaratLaut TABANAN-BALI;
09/10/2024;09:41:27;-8.43;114.79;198;2.8;23 km Tenggara JEMBRANA-BALI;
12/10/2024;04:49:36;-8.68;116.32;95;2.3;6 km TimurLaut LOMBOKTENGAH-NTB;
14/10/2024;20:52:14;-9.21;115.67;92;2.2;67 km Tenggara KUTASELATAN-BALI;
15/10/2024;23:43:12;-9.26;115.44;61;2.7;56 km Tenggara KUTASELATAN-BALI;
16/10/2024;00:35:05;-8.68;116.28;94;1.8;3 km TimurLaut LOMBOKTENGAH-NTB;
17/10/2024;18:17:51;-8.7;116.5;141;2;6 km BaratDaya LOMBOKTIMUR-NTB;
18/10/2024;23:31:49;-8.5;114.77;84;2.2;25 km Tenggara JEMBRANA-BALI;
18/10/2024;13:19:19;-8.7;116.02;92;2.8;13 km BaratDaya LOMBOKBARAT-NTB;
21/10/2024;11:39:32;-9.29;114.08;65;2.6;119 km BaratDaya JEMBRANA-BALI;
21/10/2024;04:22:09;-8.69;115.32;85;2.5;15 km TimurLaut KUTASELATAN-BALI;
21/10/2024;08:56:20;-8.93;115.42;102;2.8;26 km Tenggara KUTASELATAN-BALI;
23/10/2024;02:47:36;-8.65;116.32;98;2.3;8 km TimurLaut LOMBOKTENGAH-NTB;
